Stage,TimeStep,Node,r_U,r_D,P_lsh,delta_RT,s
RT,3,32,0.0,0.0,0.0,-0.04048057402445693,0.0
RT,3,33,0.0,0.0209656679,0.0,-4.5818313170587714,0.0
RT,3,34,0.0,0.0,0.0,-4.2524391637658425,0.0
RT,3,35,0.0,0.0,0.0,-4.258068697641306,0.0
RT,3,36,0.0,0.0,0.0,-4.834955807690193,0.0
RT,3,37,0.0,0.0,0.0,-6.50717780975998,0.0
RT,3,38,0.0,0.0,0.0,-6.1235252174483605,0.0
RT,3,39,0.0,0.0,0.0,-7.466474595534493,0.0
RT,3,40,0.0,0.0,0.0,-8.736467594902876,0.0
RT,3,41,0.0,0.0,0.0,-14.114603180648402,0.0
RT,3,42,0.0,0.0,0.0,-10.914216267749481,0.0
RT,3,43,0.0,0.0,0.0,-21.80125840072793,0.0
RT,3,44,0.0,0.0,0.0,-26.3346230306706,0.0
RT,3,45,0.0,0.0,0.0,-31.567573974255197,0.0
RT,3,46,0.0,0.0,0.0,-29.86177801119726,0.0
RT,3,47,0.0,0.0,0.0,-31.755547712633955,0.0
RT,3,48,0.0,0.0,0.0,-32.181388579396554,0.0
RT,3,49,0.0,0.0,0.0,-33.16342480393379,0.0
RT,3,50,0.0,0.0,0.0,-34.33884462596194,0.0
RT,3,51,0.0,0.0,0.0,-34.487124935165326,0.0
RT,3,52,0.0,0.0,0.0,-35.99392525488929,0.0
RT,3,53,73.7712976,21.000869665195978,0.0,-38.16180606268534,0.0
RT,3,54,0.0,49.8194571,0.0,-37.92876057147279,0.0
RT,3,55,0.0,0.0521625035,0.0,-38.06383758278167,0.0
RT,3,56,0.0,0.0,0.0,-35.76050913608762,0.0
RT,3,57,0.0,0.0,0.0,-35.74436843133881,0.0
RT,3,58,0.0,0.0256710156,0.0,-35.3591861644814,0.0
RT,3,59,0.0,0.0,0.0,-29.618438447563904,0.0
RT,3,60,0.0,0.0,0.0,-29.722077725400595,0.0
RT,3,61,0.0,0.0,0.0,-28.594027209416282,0.0
RT,3,62,0.0,0.0,0.0,-30.691429891079537,0.0
RT,3,63,0.0,0.0,0.0,-28.27290332455007,0.0
RT,3,64,0.0,0.0,0.0,-22.987903324550047,0.0
RT,3,65,0.0,0.0,0.0,-26.980224478644914,0.0
RT,3,66,0.0,0.0,0.0,-27.163932997086334,0.0
RT,3,67,0.0,0.0,0.0,-20.952895735140885,0.0
